solarSystemName,solarSystemID,regionID,constellationID,wormholeClass,systemEffect,hour,minute,second,RAText,RADec,isAnom,status,href,notes
Thera,31000005,11000031,21000324,THERA,,0,0,0,00h 00m 00s,0,,,,
J000102,31002604,11000032,21000333,C13,Wolf-Rayet Star,0,1,2,00h 01m 02s,0.25833333333333336,,,,
J000214,31002599,11000032,21000333,C13,Wolf-Rayet Star,0,2,14,00h 02m 14s,0.5583333333333333,,,,
J000186,31002587,11000032,21000332,C13,Wolf-Rayet Star,0,2,26,00h 02m 26s,0.6083333333333334,YES,,,
J000304,31002593,11000032,21000332,C13,Wolf-Rayet Star,0,3,4,00h 03m 04s,0.7666666666666667,,,,
J000313,31002601,11000032,21000333,C13,Wolf-Rayet Star,0,3,13,00h 03m 13s,0.8041666666666667,,,,
J000327,31002586,11000032,21000332,C13,Wolf-Rayet Star,0,3,27,00h 03m 27s,0.8625,,,,
J000353,31002589,11000032,21000332,C13,Wolf-Rayet Star,0,3,53,00h 03m 53s,0.9708333333333333,,,,
J000427,31002603,11000032,21000333,C13,Wolf-Rayet Star,0,4,27,00h 04m 27s,1.1125,,,,
J000452,31002585,11000032,21000332,C13,Wolf-Rayet Star,0,4,52,00h 04m 52s,1.2166666666666668,,,,
J000461,31002590,11000032,21000332,C13,Wolf-Rayet Star,0,5,1,00h 05m 01s,1.2541666666666667,YES,,,
J000522,31002591,11000032,21000332,C13,Wolf-Rayet Star,0,5,22,00h 05m 22s,1.3416666666666666,,,,
J000487,31002581,11000032,21000331,C13,Wolf-Rayet Star,0,5,27,00h 05m 27s,1.3625,YES,,,
J000528,31002588,11000032,21000332,C13,Wolf-Rayet Star,0,5,28,00h 05m 28s,1.3666666666666667,,,,
J000551,31002583,11000032,21000331,C13,Wolf-Rayet Star,0,5,51,00h 05m 51s,1.4625,,,,
J000621,31002582,11000032,21000331,C13,Wolf-Rayet Star,0,6,21,00h 06m 21s,1.5875,,,,
J000630,31002584,11000032,21000332,C13,Wolf-Rayet Star,0,6,30,00h 06m 30s,1.625,,,,
J000595,31002594,11000032,21000332,C13,Wolf-Rayet Star,0,6,35,00h 06m 35s,1.6458333333333333,YES,,,
J000652,31002600,11000032,21000333,C13,Wolf-Rayet Star,0,6,52,00h 06m 52s,1.7166666666666668,,,,
J000719,31002597,11000032,21000333,C13,Wolf-Rayet Star,0,7,19,00h 07m 19s,1.8291666666666666,,,,
J000685,31002595,11000032,21000333,C13,Wolf-Rayet Star,0,7,25,00h 07m 25s,1.8541666666666667,YES,,,
J000726,31002598,11000032,21000333,C13,Wolf-Rayet Star,0,7,26,00h 07m 26s,1.8583333333333334,,,,
J000687,31002602,11000032,21000333,C13,Wolf-Rayet Star,0,7,27,00h 07m 27s,1.8625,YES,,,
J000844,31002596,11000032,21000333,C13,Wolf-Rayet Star,0,8,44,00h 08m 44s,2.183333333333333,,,,
J000895,31002580,11000032,21000331,C13,Wolf-Rayet Star,0,9,35,00h 09m 35s,2.3958333333333335,YES,,,
J000965,31002592,11000032,21000332,C13,Wolf-Rayet Star,0,10,5,00h 10m 05s,2.5208333333333335,YES,,,
J001025,31002572,11000024,21000329,C5,,0,10,25,00h 10m 25s,2.6041666666666665,,,,
J001057,31002518,11000004,21000326,C2,Pulsar,0,10,57,00h 10m 57s,2.7375,,,,
J001302,31002543,11000016,21000328,C4,Magnetar,0,13,2,00h 13m 02s,3.2583333333333333,,,,
J001348,31002528,11000009,21000327,C3,Cataclysmic Variable,0,13,48,00h 13m 48s,3.45,,,,
J001398,31002535,11000009,21000327,C3,,0,14,38,00h 14m 38s,3.658333333333333,YES,,,
J001670,31002530,11000009,21000327,C3,Pulsar,0,17,10,00h 17m 10s,4.291666666666667,YES,,,
J001694,31002557,11000024,21000329,C5,Black Hole,0,17,34,00h 17m 34s,4.391666666666667,YES,,,
J001769,31002548,11000016,21000328,C4,Wolf-Rayet Star,0,18,9,00h 18m 09s,4.5375,YES,,,
J001820,31002564,11000024,21000329,C5,Red Giant,0,18,20,00h 18m 20s,4.583333333333333,,,,
J001890,31002524,11000004,21000326,C2,,0,19,30,00h 19m 30s,4.875,YES,,,
J002216,31002514,11000001,21000325,C1,,0,22,16,00h 22m 16s,5.566666666666666,,,,
J002423,31002542,11000016,21000328,C4,Magnetar,0,24,23,00h 24m 23s,6.095833333333333,,,,
J002625,31002538,11000016,21000328,C4,Black Hole,0,26,25,00h 26m 25s,6.604166666666667,,,,
J002757,31002511,11000001,21000325,C1,,0,27,57,00h 27m 57s,6.9875,,,,
J002838,31002529,11000009,21000327,C3,Magnetar,0,28,38,00h 28m 38s,7.158333333333333,,,,
J002964,31002525,11000004,21000326,C2,,0,30,4,00h 30m 04s,7.516666666666667,YES,,,
J003382,31002562,11000024,21000329,C5,Pulsar,0,34,22,00h 34m 22s,8.591666666666667,YES,,,
J003546,31002563,11000024,21000329,C5,Pulsar,0,35,46,00h 35m 46s,8.941666666666666,,,,
J003789,31002532,11000009,21000327,C3,,0,38,29,00h 38m 29s,9.620833333333334,YES,,,
J003793,31002569,11000024,21000329,C5,,0,38,33,00h 38m 33s,9.6375,YES,,,
J003941,31002558,11000024,21000329,C5,Cataclysmic Variable,0,39,41,00h 39m 41s,9.920833333333333,,,,
J004128,31002570,11000024,21000329,C5,,0,41,28,00h 41m 28s,10.366666666666667,,,,
