name,type,ra_text,dec_text,ra_dec,dec_dec,url
Gamma Velorum,Wolf-Rayet,08h 09m 31.95013s,–47° 20′ 11.7108″ ,122.3920005778,-41.951205,https://en.wikipedia.org/wiki/Gamma_Velorum
Theta Muscae,Wolf-Rayet,13h 08m 07.15286s ,−65° 18′ 21.6819″,197.0317904889,-60.40965875,https://en.wikipedia.org/wiki/Theta_Muscae
R136a1,Wolf-Rayet,05h 38m 42.39000s,−69° 06′ 02.9100″ ,84.6884,-67.487875,https://en.wikipedia.org/wiki/R136a1
Tarantula Nebula,Wolf-Rayet,05h 38m 38.00000s,−69° 05′ 29.4000″ ,84.6688888889,-67.6275,https://en.wikipedia.org/wiki/Tarantula_Nebula
WR 134,Wolf-Rayet,20h 10m 14.19300s ,+36° 10′ 35.0700″ ,302.56308,38.646125,https://en.wikipedia.org/wiki/WR_134
WR 135,Wolf-Rayet,20h 11m 53.52729s ,+36° 11′ 50.5323″,302.9878990667,38.96055125,https://en.wikipedia.org/wiki/WR_135
WR 137,Wolf-Rayet,20h 14m 31.76669s,+36° 39′ 39.5982″ ,303.6411852889,45.9149925,https://en.wikipedia.org/wiki/WR_137
WR 1,Wolf-Rayet,00h 43m 28.39827s ,+64° 45′ 35.4011″ ,10.8762145333,75.3975045833,https://en.wikipedia.org/wiki/WR_1
WR 2,Wolf-Rayet,01h 05m 23.01436s,+60° 25′ 18.9652″,16.3522860444,66.3290216667,https://en.wikipedia.org/wiki/WR_2
WR 46,Wolf-Rayet,12h 05m 18.72028s ,−62° 03′ 10.1280″,181.3332012444,-61.2078,https://en.wikipedia.org/wiki/WR_46
1ES 2344+514,Supermassive Black Hole,23h 47m 04.83800s,+51° 42′ 17.8800″,356.7715022222,61.5745,https://en.wikipedia.org/wiki/1ES_2344%2B514
Ton 618,Supermassive Black Hole,12h 28m 24.90000s ,+31° 28′ 38.0000″ ,187.1106666667,38.1583333333,https://en.wikipedia.org/wiki/TON_618
3C 371,Supermassive Black Hole,18h 06m 50.68100s ,+69° 49′ 28.1100″,271.7252488889,81.367125,https://en.wikipedia.org/wiki/3C_371
4C +37.11,Supermassive Black Hole,04h 05m 49.20000s,+38° 03′ 32.0000″,61.4686666667,38.8833333333,https://en.wikipedia.org/wiki/4C_%2B37.11
AP Librae,Supermassive Black Hole,15h 17m 41.81400s ,−24° 22′ 19.4800″,229.43584,-18.4188333333,https://en.wikipedia.org/wiki/AP_Librae
S5 0014+81,Supermassive Black Hole,00h 17m 08.50000s ,+81° 35′ 08.0000″,4.2877777778,89.7833333333,https://en.wikipedia.org/wiki/S5_0014%2B81
APM 08279+5255,Supermassive Black Hole,08h 31m 41.70000s ,+52° 45′ 16.8000″,127.9353333333,63.32,https://en.wikipedia.org/wiki/APM_08279%2B5255
Arp 220,Supermassive Black Hole,15h 34m 57.10000s ,+23° 30′ 11.0000″,233.7537777778,30.5458333333,https://en.wikipedia.org/wiki/Arp_220
Centaurus A,Supermassive Black Hole,13h 25m 27.60000s ,−43° 01′ 09.0000″,201.3726666667,-42.7125,https://en.wikipedia.org/wiki/Centaurus_A
EXO 0706.1+5913,Supermassive Black Hole,07h 10m 30.06836s ,+59° 08′ 20.3717″,107.6336371556,61.0848820833,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=EXO+0706.1%2B5913
NGC 1316 (Fornax A),Supermassive Black Hole,03h 22m 41.70000s ,−37° 12′ 30.0000″ ,50.6853333333,-33.875,https://en.wikipedia.org/wiki/NGC_1316
HE0450-2958,Supermassive Black Hole,04h 52m 30.00000s ,−29° 53′ 35.0000″ ,73.1333333333,-15.6041666667,https://en.wikipedia.org/wiki/HE0450-2958
IC 1459,Supermassive Black Hole,22h 57m 10.60000s ,−36° 27′ 44.0000″ ,344.2971111111,-29.0666666667,https://en.wikipedia.org/wiki/IC_1459
J1728.2+5013,Supermassive Black Hole,17h 28m 18.62422s,−50° 13′ 10.4695″ ,262.0827743111,-46.7063770833,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=%40351612
Messier 31 (Andromeda Galaxy),Supermassive Black Hole,00h 42m 44.30000s ,+41° 16′ 09.0000″ ,10.6968888889,45.0375,https://en.wikipedia.org/wiki/Andromeda_Galaxy
Messier 32,Supermassive Black Hole,00h 42m 41.80000s ,+40° 51′ 55.0000″ ,10.6857777778,52.9791666667,https://en.wikipedia.org/wiki/Messier_32
Messier 51 (Whirlpool Galaxy),Supermassive Black Hole,13h 29m 52.70000s ,+47° 11′ 43.0000″,202.4842222222,49.9291666667,https://en.wikipedia.org/wiki/Whirlpool_Galaxy
Messier 60,Supermassive Black Hole,12h 43m 40.00800s,+11° 33′ 09.4000″ ,190.9278133333,19.2891666667,https://en.wikipedia.org/wiki/Messier_60
Messier 77,Supermassive Black Hole,02h 42m 40.77100s ,−00° 00′ 47.8400″ ,40.6812044444,0.1993333333,https://en.wikipedia.org/wiki/Messier_77
Messier 81 (Bode's Galaxy),Supermassive Black Hole,09h 55m 33.20000s ,+69° 03′ 55.0000″ ,148.8975555556,69.9791666667,https://en.wikipedia.org/wiki/Messier_81
Messier 84,Supermassive Black Hole,12h 25m 03.74333s ,+12° 53′ 13.1393″,186.2666370222,25.3047470833,https://en.wikipedia.org/wiki/Messier_84
Messier 87 (Virgo A),Supermassive Black Hole,12h 30m 49.42338s,+12° 23′ 28.0439″,187.7196594667,17.8668495833,https://en.wikipedia.org/wiki/Messier_87
Messier 104 (Sombrero Galaxy),Supermassive Black Hole,12h 39m 59.40000s ,−11° 37′ 23.0000″ ,190.014,-1.6541666667,https://en.wikipedia.org/wiki/Sombrero_Galaxy
Messier 105,Supermassive Black Hole,10h 47m 49.60000s,+12° 34′ 53.8700″ ,161.9704444444,20.7244583333,https://en.wikipedia.org/wiki/Messier_105
Messier 106,Supermassive Black Hole,12h 18m 57.50000s ,+47° 18′ 14.0000″ ,184.7555555556,51.5583333333,https://en.wikipedia.org/wiki/Messier_106
Markarian 180,Supermassive Black Hole,11h 33m 26.40900s,+70° 09′ 27.3090″ ,173.3673733333,72.3637875,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Markarian%20180
Markarian 421,Supermassive Black Hole,11h 04m 27.31400s,+38° 12′ 31.8000″,166.1213955556,41.1325,https://en.wikipedia.org/wiki/Markarian_421
Markarian 501,Supermassive Black Hole,16h 53m 52.21000s ,+39° 45′ 37.6000″ ,253.4820444444,50.4066666667,https://en.wikipedia.org/wiki/Markarian_501
NGC 821,Supermassive Black Hole,02h 08m 21.15000s,+10° 59′ 41.5300″ ,32.094,24.9230416667,https://en.wikipedia.org/wiki/NGC_821
NGC 1023,Supermassive Black Hole,02h 40m 24.00000s ,+39° 03′ 48.0000″ ,40.1066666667,39.95,https://en.wikipedia.org/wiki/NGC_1023
NGC 1097,Supermassive Black Hole,02h 46m 19.00000s,−30° 16′ 30.0000″ ,41.5844444444,-25.875,https://en.wikipedia.org/wiki/NGC_1097
NGC 1277,Supermassive Black Hole,03h 19m 51.50000s ,+41° 34′ 25.0000″,49.9788888889,49.6041666667,https://en.wikipedia.org/wiki/NGC_1277
NGC 1566,Supermassive Black Hole,04h 20m 00.40200s,−54° 56′ 16.5781″ ,65.0017866667,-39.9309245833,https://en.wikipedia.org/wiki/NGC_1566
NGC 2778,Supermassive Black Hole,09h 12m 24.37417s,+35° 01′ 39.1404″ ,138.1083296444,35.413085,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+2778
NGC 2787,Supermassive Black Hole,09h 19m 18.60430s,+69° 12′ 11.6429″,139.8326857778,72.0485120833,https://en.wikipedia.org/wiki/NGC_2787
NGC 3079,Supermassive Black Hole,10h 01m 57.80000s,+55° 40′ 47.0000″ ,150.5068888889,65.1958333333,https://en.wikipedia.org/wiki/NGC_3079
NGC 3115,Supermassive Black Hole,10h 05m 14.00000s ,−07° 43′ 07.0000″,151.3122222222,3.7791666667,https://en.wikipedia.org/wiki/NGC_3115
NGC 3245,Supermassive Black Hole,10h 27m 18.00000s,+28° 30′ 26.0000″ ,156.83,35.6083333333,https://en.wikipedia.org/wiki/NGC_3245
NGC 3377,Supermassive Black Hole,10h 47m 42.40000s ,+13° 59′ 08.0000″,161.9384444444,27.7833333333,https://en.wikipedia.org/wiki/NGC_3377
NGC 3384,Supermassive Black Hole,10h 48m 16.90000s,+12° 37′ 46.0000″,162.0751111111,21.4416666667,https://en.wikipedia.org/wiki/NGC_3384
NGC 3608,Supermassive Black Hole,11h 16m 58.96700s,+18° 08′ 54.7100″,169.2620755556,20.2279583333,https://en.wikipedia.org/wiki/NGC_3608
NGC 3894,Supermassive Black Hole,11h 48m 50.34626s,+59° 24′ 56.4505″,177.2237611556,65.2352104167,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+3894
NGC 3998,Supermassive Black Hole,11h 57m 56.13330s,+55° 27′ 12.9220″,179.4994813333,61.8038416667,https://en.wikipedia.org/wiki/NGC_3998
NGC 4151,Supermassive Black Hole,12h 10m 32.60000s ,+39° 24′ 21.0000″,182.6448888889,45.0875,https://en.wikipedia.org/wiki/NGC_4151
NGC 4261,Supermassive Black Hole,12h 19m 23.21606s ,+05° 49′ 29.7000″,184.8531824889,17.37375,https://en.wikipedia.org/wiki/NGC_4261
NGC 4291,Supermassive Black Hole,12h 20m 17.69900s,+75° 22′ 15.4700″,185.0786622222,80.5644583333,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4291
NGC 4342,Supermassive Black Hole,12h 23m 39.00320s,+07° 03′ 14.3594″,185.9233475556,7.8098308333,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4342
NGC 4350,Supermassive Black Hole,12h 23m 57.81400s,+16° 41′ 36.0800″,186.0069511111,26.4003333333,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4350
NGC 4438 (Eyes Galaxies),Supermassive Black Hole,12h 27m 45.60000s ,"+13° 00' 31.0000""",186.9526666667,13.1291666667,https://en.wikipedia.org/wiki/Eyes_Galaxies
NGC 4459,Supermassive Black Hole,12h 29m 00.00000s ,+13° 58′ 42.0000″,187.25,27.675,https://en.wikipedia.org/wiki/NGC_4459
NGC 4473,Supermassive Black Hole,12h 29m 48.90000s,+13° 25′ 46.0000″ ,187.4673333333,19.4416666667,https://en.wikipedia.org/wiki/NGC_4473
NGC 4486B,Supermassive Black Hole,12h 30m 31.98500s,+12° 29′ 24.8500″ ,187.6421555556,19.3535416667,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4486B
NGC 4564,Supermassive Black Hole,12h 36m 27.00000s ,+11° 26′ 21.0000″ ,189.12,17.5875,https://en.wikipedia.org/wiki/NGC_4564
NGC 4579 (Messier 58),Supermassive Black Hole,12h 37m 43.50000s,+11° 49′ 05.0000″ ,189.4433333333,23.2708333333,https://en.wikipedia.org/wiki/Messier_58
NGC 4596,Supermassive Black Hole,12h 39m 55.90000s ,+10° 10′ 34.0000″ ,189.9984444444,12.6416666667,https://en.wikipedia.org/wiki/NGC_4596
NGC 4697,Supermassive Black Hole,12h 48m 35.90000s,−05° 48′ 03.0000″ ,192.1595555556,7.0125,https://en.wikipedia.org/wiki/NGC_4697
NGC 4742,Supermassive Black Hole,12h 51m 48.04167s,−10° 27′ 17.1966″ ,192.9635185333,-3.1783475,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4742
NGC 4791,Supermassive Black Hole,12h 54m 43.94691s,+08° 03′ 11.1364″,193.6953196,8.7964016667,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4791
NGC 4849,Supermassive Black Hole,12h 58m 12.67534s,+26° 23′ 48.7044″,194.5563348444,31.952935,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+4849
NGC 4889 (Caldwell 35),Supermassive Black Hole,13h 00m 08.10000s,+27° 58′ 37.0000″,195.036,41.6541666667,https://en.wikipedia.org/wiki/NGC_4889
NGC 4945 (Caldwell 83),Supermassive Black Hole,13h 05m 27.50000s,−49° 28′ 06.0000″ ,196.3722222222,-41.975,https://en.wikipedia.org/wiki/NGC_4945
NGC 5033,Supermassive Black Hole,13h 13m 27.50000s ,+36° 35′ 38.0000″,198.3722222222,44.9083333333,https://en.wikipedia.org/wiki/NGC_5033
NGC 5845,Supermassive Black Hole,15h 06m 00.78232s,+15° 06′ 00.7823″,226.5034769778,16.5032595833,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC+5845
NGC 6251,Supermassive Black Hole,16h 32m 31.97000s,+82° 32′ 16.4000″,248.1420888889,90.0683333333,https://en.wikipedia.org/wiki/NGC_6251
NGC 7052,Supermassive Black Hole,21h 18m 33.00000s,+26° 26′ 49.0000″,319.6466666667,32.7041666667,https://en.wikipedia.org/wiki/NGC_7052
NGC 7457,Supermassive Black Hole,23h 00m 59.93400s,+30° 08′ 41.7900″ ,345.2663733333,32.174125,https://en.wikipedia.org/wiki/NGC_7457
OJ 287,Supermassive Black Hole,08h 54m 48.90000s,+20° 06′ 31.0000″,133.7173333333,21.6291666667,https://en.wikipedia.org/wiki/OJ_287
PKS 0521-365,Supermassive Black Hole,05h 22m 57.98396s,−36° 27′ 30.8477″,80.7577064889,-29.1214679167,https://en.wikipedia.org/wiki/PKS_0521-365
PKS 0548-322,Supermassive Black Hole,05h 50m 40.57051s,−05° 50′ 40.5705″,87.6803133778,7.66904375,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PKS+0548-322
PKS 2201+044,Supermassive Black Hole,22h 04m 17.65211s,+04° 40′ 02.0275″,331.0784538222,14.0084479167,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PKS+2201%2B044
Q0906+6930,Supermassive Black Hole,09h 06m 30.75000s ,+69° 30′ 30.8000″,136.6366666667,76.6283333333,https://en.wikipedia.org/wiki/Q0906%2B6930
RX J1131-1231,Supermassive Black Hole,11h 31m 51.60000s ,−12° 31′ 57.0000″ ,172.9793333333,-4.0125,https://en.wikipedia.org/wiki/RX_J1131-1231
Sagittarius A*,Supermassive Black Hole,17h 45m 40.04090s ,−29° 00′ 28.1180″ ,266.4279595556,-28.8828416667,https://en.wikipedia.org/wiki/Sagittarius_A*
SDSS J140821.67+025733.2,Supermassive Black Hole,14h 08m 21.66624s,+14° 08′ 21.6662″ ,212.0962944,16.0902758333,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SDSS+J140821.67%2B025733.2
Messier 82 (Cigar Galaxy),Intermediate Black Hole,09h 55m 52.20000s,+69° 40′ 47.0000″ ,148.982,79.1958333333,https://en.wikipedia.org/wiki/Messier_82
